1	XXXXX sadzwx sadzwx	XXXXX whldys tfkd
0	XXXXX sadzwx sadzwx	tcpe XXXXX tcpe tcpe
1	XXXXX ruqbvp ruqbvp zfcbdw	XXXXX rjwd
0	XXXXX ruqbvp ruqbvp zfcbdw	XXXXX qtbu zkojps mzjco
1	XXXXX mnsoy yrtckz mnsoy	tvzupm XXXXX oear
0	XXXXX mnsoy yrtckz mnsoy	XXXXX dnmcao pqbku pqbku
1	XXXXX tcpe	XXXXX tcpe tcpe tcpe
0	XXXXX tcpe	XXXXX icxda
1	XXXXX cixwn	XXXXX omwnpf
0	XXXXX cixwn	XXXXX ruqbvp ruqbvp zfcbdw
1	oievjc tyoins XXXXX icxda	tyoins XXXXX icxda
0	oievjc tyoins XXXXX icxda	XXXXX oxnif oxnif
1	XXXXX rhfa tmur	tmur XXXXX tmur heoa
0	XXXXX rhfa tmur	XXXXX zkojps
1	XXXXX kjlgp vxgk kjlgp	XXXXX vxgk
0	XXXXX kjlgp vxgk kjlgp	mnsoy XXXXX tvzupm
1	XXXXX cwkz mnsoy yrtckz	XXXXX razq
0	XXXXX cwkz mnsoy yrtckz	XXXXX ytxvi kjlgp vxgk
1	XXXXX rhfa rhfa tmur	rhfa XXXXX xrjhvk
0	XXXXX rhfa rhfa tmur	XXXXX urdn
1	XXXXX vxgk	ytxvi XXXXX qmft qmft
0	XXXXX vxgk	muxy XXXXX qmds ferbza
1	XXXXX kjlgp	XXXXX vxgk
0	XXXXX kjlgp	XXXXX juiqxo
1	vnzh qwehct XXXXX qwehct	bjray XXXXX vnzh qwehct
0	vnzh qwehct XXXXX qwehct	sxqdeg XXXXX mrxb
1	XXXXX icxda oievjc	icxda XXXXX oievjc
0	XXXXX icxda oievjc	XXXXX dailxr
1	XXXXX pybn pybn pybn	XXXXX ctiv
0	XXXXX pybn pybn pybn	qwehct XXXXX bjray
1	ytxvi XXXXX qmft	XXXXX kjlgp
0	ytxvi XXXXX qmft	XXXXX odyxb
1	XXXXX qmft	qmft XXXXX kjlgp
0	XXXXX qmft	mnsoy XXXXX tvzupm
1	ruqbvp XXXXX zfcbdw	ruqbvp XXXXX vapsx ruqbvp
0	ruqbvp XXXXX zfcbdw	XXXXX wbju
1	pybn XXXXX pymebs	pymebs XXXXX pybn pybn
0	pybn XXXXX pymebs	XXXXX dailxr
1	XXXXX czvegm	XXXXX juiqxo cqmrvp
0	XXXXX czvegm	XXXXX kjlgp
1	oxnif oxnif XXXXX gdozcx	XXXXX gdozcx gdozcx
0	oxnif oxnif XXXXX gdozcx	XXXXX urctlo
1	XXXXX xjaco	XXXXX xjaco xjaco
0	XXXXX xjaco	XXXXX wbrzd
1	odyxb XXXXX bjray	XXXXX odyxb
0	odyxb XXXXX bjray	XXXXX vapsx
1	XXXXX kjlgp qmft qmft	qmft XXXXX ytxvi
0	XXXXX kjlgp qmft qmft	XXXXX whldys
1	XXXXX juiqxo cqmrvp	tidm XXXXX bleq ayjndk
0	XXXXX juiqxo cqmrvp	XXXXX qecnlz
1	XXXXX qmft qmft	XXXXX kjlgp kjlgp kjlgp
0	XXXXX qmft qmft	XXXXX mnsoy yrtckz mnsoy
1	kzhlef XXXXX dnmcao	XXXXX aihcr wfmv
0	kzhlef XXXXX dnmcao	utavfm XXXXX qmds ferbza
1	hzlnw XXXXX txbr	XXXXX qwehct hswmg txbr
