1	xeojhu odxis XXXXX epqhjz dfrp	yeklsv hpqnk XXXXX frsot
0	xeojhu odxis XXXXX epqhjz dfrp	XXXXX hnkm hgli ientl nwokdr
1	XXXXX eorl jrzb wdjyzf	prcegv XXXXX rbgcy
0	XXXXX eorl jrzb wdjyzf	XXXXX bregt filgmk
1	bregt nefctz twse XXXXX twse	twse XXXXX twse elatf bmrwl
0	bregt nefctz twse XXXXX twse	XXXXX gblvz futwcy hgdivm thnq
1	sjmxb XXXXX mpce tlsbk fwnh	prcegv XXXXX mpce
0	sjmxb XXXXX mpce tlsbk fwnh	twse XXXXX elatf rusyt
1	XXXXX tvaq otme voep aszh	otme hdrtip nsyhk XXXXX nsyhk
0	XXXXX tvaq otme voep aszh	yeklsv zelds tvaq XXXXX xeojhu
1	XXXXX unoj odxis	gafdkv tsqd hzuan XXXXX unoj
0	XXXXX unoj odxis	nrjgow XXXXX vuksfc
1	XXXXX hzuan qnde qnde	mewt XXXXX jebuya
0	XXXXX hzuan qnde qnde	XXXXX jrzb cres cres nbzsow
1	nvmjbl XXXXX xowbme ziqwt	XXXXX yfmq odxis epqhjz xeojhu
0	nvmjbl XXXXX xowbme ziqwt	huzka XXXXX rjgxo rjgxo
1	tacmlw rjgxo rjgxo XXXXX clpid	fyqrun tacmlw XXXXX rjgxo
0	tacmlw rjgxo rjgxo XXXXX clpid	ejskgb XXXXX whjfky jertu unoj
1	mpce XXXXX wdcsb axfkb nklfs	XXXXX fwnh vauyb nxiuv
0	mpce XXXXX wdcsb axfkb nklfs	futwcy bonfz XXXXX hevybr
1	rxvhz XXXXX ftibrw	XXXXX rxvhz prcegv wzepx rxvhz
0	rxvhz XXXXX ftibrw	lfvwp XXXXX fyrvxj vmbo
1	jrzb xhfd grsemv XXXXX cres	XXXXX vuksfc rbgcy
0	jrzb xhfd grsemv XXXXX cres	mewt XXXXX jebuya
1	zefqg XXXXX zwkhq tarluw	nvmjbl xdiqm zwkhq XXXXX tarluw
0	zefqg XXXXX zwkhq tarluw	fhjw fdsm xrhs XXXXX bczoif
1	uybnoj rusyt XXXXX dhvf uybnoj	XXXXX uybnoj zrev uybnoj
0	uybnoj rusyt XXXXX dhvf uybnoj	zhla XXXXX wzepx wzepx
